total_characters,total_lines,non_empty_lines,avg_line_length,max_line_length,empty_line_ratio,whitespace_ratio,syntax_error,num_functions,num_classes,num_imports,num_variables,num_if_statements,num_for_loops,num_while_loops,num_try_except,max_nesting_depth,num_return_statements,num_print_statements,single_quote_count,double_quote_count,quote_preference,tab_indented_lines,space_indented_lines,indentation_preference,snake_case_count,camel_case_count,naming_preference,comment_lines,comment_ratio,flesch_reading_ease,flesch_kincaid_grade,automated_readability_index,coleman_liau_index,gunning_fog,cyclomatic_complexity,unique_tokens,total_tokens,token_diversity,num_docstrings,total_docstring_length,avg_docstring_length,type_hints_count,return_annotations_count,has_main_guard,documentation_ratio,label,label_text,category,complexity,code
783,32,25,23.5,56,0.21875,0.3154533844189016,False,2,0,0,6,3,1,0,0,4,1,1,0,20,double,0,27,spaces,61,0,snake_case,0,0.0,51.85,8.8,22.3,21.32,6.22,5,46,76,0.6052631578947368,2,203,101.5,9,0,True,0.34375,1,ai-generated,data_processing,medium,"def process_data(data_list):
    """"""
    Process a list of data items.
    
    Args:
        data_list (list): List of data items to process
        
    Returns:
        list: Processed data items
    """"""
    processed_items = []
    
    for item in data_list:
        if isinstance(item, (int, float)):
            processed_item = item * 2
        elif isinstance(item, str):
            processed_item = item.upper()
        else:
            processed_item = str(item)
        
        processed_items.append(processed_item)
    
    return processed_items

def main():
    """"""Main execution function.""""""
    sample_data = [1, 2.5, ""hello"", True, None, ""world""]
    result = process_data(sample_data)
    print(""Processed data:"", result)

if __name__ == ""__main__"":
    main()"
384,21,16,17.333333333333332,35,0.23809523809523808,0.328125,False,5,1,0,2,1,0,0,0,3,3,1,0,0,double,0,15,spaces,46,0,snake_case,0,0.0,58.65,6.1,21.2,16.66,1.72,1,21,52,0.40384615384615385,0,0,0.0,7,0,False,0.3333333333333333,0,human-written,data_structures,medium,"class Stack:
    def __init__(self):
        self.items = []
    
    def push(self, item):
        self.items.append(item)
    
    def pop(self):
        if not self.is_empty():
            return self.items.pop()
    
    def is_empty(self):
        return len(self.items) == 0
    
    def size(self):
        return len(self.items)

s = Stack()
s.push(1)
s.push(2)
print(s.pop())"
384,15,12,24.666666666666668,54,0.2,0.2864583333333333,False,1,0,0,5,1,0,0,0,2,2,1,0,0,double,0,9,spaces,51,0,snake_case,2,0.13333333333333333,33.59,22.0,29.4,7.79,22.34,7,25,62,0.4032258064516129,0,0,0.0,2,0,False,0.13333333333333333,0,human-written,algorithm,medium,"# Quick sort implementation
def quicksort(arr):
    if len(arr) <= 1:
        return arr
    
    pivot = arr[len(arr) // 2]
    left = [x for x in arr if x < pivot]
    middle = [x for x in arr if x == pivot]
    right = [x for x in arr if x > pivot]
    
    return quicksort(left) + middle + quicksort(right)

# Test
test_array = [3, 6, 8, 10, 1, 2, 1]
print(quicksort(test_array))"
1728,61,50,27.34426229508197,95,0.180327868852459,0.386574074074074,False,4,1,0,3,2,0,0,0,3,5,0,0,30,double,0,60,spaces,128,0,snake_case,0,0.0,50.12,9.4,17.7,17.44,6.66,4,50,165,0.303030303030303,5,1034,206.8,25,3,False,0.5409836065573771,1,ai-generated,class,high,"class BankAccount:
    """"""
    A class to represent a bank account.
    
    Attributes:
        account_number (str): The account number
        balance (float): The current balance
        account_holder (str): The name of the account holder
    """"""
    
    def __init__(self, account_number: str, account_holder: str, initial_balance: float = 0.0):
        """"""
        Initialize a new bank account.
        
        Args:
            account_number (str): The account number
            account_holder (str): The name of the account holder
            initial_balance (float): The initial balance (default: 0.0)
        """"""
        self.account_number = account_number
        self.account_holder = account_holder
        self.balance = initial_balance
    
    def deposit(self, amount: float) -> bool:
        """"""
        Deposit money into the account.
        
        Args:
            amount (float): The amount to deposit
            
        Returns:
            bool: True if successful, False otherwise
        """"""
        if amount > 0:
            self.balance += amount
            return True
        return False
    
    def withdraw(self, amount: float) -> bool:
        """"""
        Withdraw money from the account.
        
        Args:
            amount (float): The amount to withdraw
            
        Returns:
            bool: True if successful, False otherwise
        """"""
        if amount > 0 and amount <= self.balance:
            self.balance -= amount
            return True
        return False
    
    def get_balance(self) -> float:
        """"""
        Get the current balance.
        
        Returns:
            float: The current balance
        """"""
        return self.balance"
624,21,20,28.761904761904763,65,0.0476190476190476,0.266025641025641,False,1,0,0,2,1,0,0,4,3,4,5,6,12,double,0,15,spaces,54,0,snake_case,1,0.0476190476190476,26.06,12.5,22.1,21.21,10.17,7,39,71,0.5492957746478874,0,0,0.0,10,0,False,0.4761904761904761,0,human-written,file_handling,medium,"def read_file_safely(filename):
    try:
        with open(filename, 'r') as file:
            content = file.read()
            return content
    except FileNotFoundError:
        print(f""Error: File '{filename}' not found."")
        return None
    except PermissionError:
        print(f""Error: Permission denied to read '{filename}'."")
        return None
    except Exception as e:
        print(f""Unexpected error: {e}"")
        return None

# Example usage
content = read_file_safely(""example.txt"")
if content:
    print(""File content:"", content[:100])  # First 100 characters
else:
    print(""Failed to read file."")"
991,34,26,28.176470588235293,81,0.2352941176470588,0.3632694248234107,False,1,0,1,4,3,0,1,2,5,2,9,1,22,double,0,29,spaces,78,0,snake_case,0,0.0,54.29,7.8,17.4,16.96,4.84,7,61,105,0.580952380952381,0,0,0.0,8,0,True,0.2352941176470588,0,human-written,game,high,"import random

def guess_number_game():
    number = random.randint(1, 100)
    attempts = 0
    max_attempts = 7
    
    print(""Welcome to the Number Guessing Game!"")
    print(f""I'm thinking of a number between 1 and 100."")
    print(f""You have {max_attempts} attempts to guess it."")
    
    while attempts < max_attempts:
        try:
            guess = int(input(""Enter your guess: ""))
            attempts += 1
            
            if guess == number:
                print(f""Congratulations! You guessed it in {attempts} attempts!"")
                return True
            elif guess < number:
                print(""Too low!"")
            else:
                print(""Too high!"")
                
            print(f""Attempts remaining: {max_attempts - attempts}"")
            
        except ValueError:
            print(""Please enter a valid number!"")
    
    print(f""Game over! The number was {number}"")
    return False

if __name__ == ""__main__"":
    guess_number_game()"
384,18,15,20.38888888888889,60,0.1666666666666666,0.28125,False,2,0,0,3,2,1,0,0,2,4,2,0,4,double,0,10,spaces,47,0,snake_case,1,0.0555555555555555,8.88,23.2,29.9,11.56,21.56,3,24,60,0.4,0,0,0.0,5,0,False,0.2777777777777778,0,human-written,algorithm,medium,"def fibonacci(n):
    if n <= 1:
        return n
    return fibonacci(n-1) + fibonacci(n-2)

def fibonacci_iterative(n):
    if n <= 1:
        return n
    
    a, b = 0, 1
    for _ in range(2, n + 1):
        a, b = b, a + b
    return b

# Compare both methods
n = 10
print(f""Fibonacci({n}) recursive: {fibonacci(n)}"")
print(f""Fibonacci({n}) iterative: {fibonacci_iterative(n)}"")"
534,23,19,22.26086956521739,61,0.1739130434782608,0.3052434456928839,False,2,0,0,2,2,0,0,0,2,2,1,0,16,double,0,18,spaces,50,0,snake_case,0,0.0,17.64,15.7,18.0,13.81,10.59,4,35,64,0.546875,2,239,119.5,7,0,True,0.391304347826087,1,ai-generated,algorithm,medium,"def calculate_factorial(n):
    """"""
    Calculate the factorial of a given number.
    
    Args:
        n (int): The number to calculate factorial for
        
    Returns:
        int: The factorial of n
    """"""
    if n == 0 or n == 1:
        return 1
    else:
        return n * calculate_factorial(n - 1)

def main():
    """"""Main function to demonstrate factorial calculation.""""""
    number = 5
    result = calculate_factorial(number)
    print(f""The factorial of {number} is {result}"")

if __name__ == ""__main__"":
    main()"
341,15,13,21.8,61,0.13333333333333333,0.22580645161290322,False,1,0,2,3,1,0,0,2,2,2,1,4,2,single,0,7,spaces,35,0,snake_case,1,0.06666666666666667,-1.9,14.9,25.8,25.91,5.1,3,30,41,0.7317073170731707,0,0,0.0,4,0,False,0.26666666666666666,0,human-written,web_scraping,high,"# Simple web scraper
import requests
from bs4 import BeautifulSoup

def get_title(url):
    try:
        response = requests.get(url)
        soup = BeautifulSoup(response.content, 'html.parser')
        return soup.title.string
    except:
        return None

title = get_title('https://example.com')
if title:
    print(f""Title: {title}"")"
1750,65,53,25.93846153846154,82,0.18461538461538463,0.3222857142857143,False,2,0,0,11,4,2,0,2,3,1,3,16,24,double,0,60,spaces,158,0,snake_case,5,0.07692307692307693,10.16,20.6,27.8,15.56,18.68,11,106,203,0.5221674876847291,2,350,175.0,24,1,True,0.4153846153846154,1,ai-generated,data_processing,medium,"def calculate_statistics(data: list) -> dict:
    """"""
    Calculate basic statistics for a list of numbers.
    
    Args:
        data (list): List of numeric values
        
    Returns:
        dict: Dictionary containing statistical measures
        
    Raises:
        ValueError: If data is empty or contains non-numeric values
    """"""
    if not data:
        raise ValueError(""Data list cannot be empty"")
    
    # Validate that all elements are numeric
    for item in data:
        if not isinstance(item, (int, float)):
            raise ValueError(f""All elements must be numeric, found: {type(item)}"")
    
    # Calculate statistics
    n = len(data)
    mean = sum(data) / n
    
    # Calculate variance and standard deviation
    variance = sum((x - mean) ** 2 for x in data) / n
    std_dev = variance ** 0.5
    
    # Find min and max
    minimum = min(data)
    maximum = max(data)
    
    # Calculate median
    sorted_data = sorted(data)
    if n % 2 == 0:
        median = (sorted_data[n // 2 - 1] + sorted_data[n // 2]) / 2
    else:
        median = sorted_data[n // 2]
    
    return {
        'count': n,
        'mean': mean,
        'median': median,
        'variance': variance,
        'std_dev': std_dev,
        'min': minimum,
        'max': maximum,
        'range': maximum - minimum
    }

def main():
    """"""Main function to demonstrate statistics calculation.""""""
    sample_data = [1, 2, 3, 4, 5, 6, 7, 8, 9, 10]
    
    try:
        stats = calculate_statistics(sample_data)
        print(""Statistical Analysis:"")
        for key, value in stats.items():
            print(f""{key.capitalize()}: {value:.2f}"")
    except ValueError as e:
        print(f""Error: {e}"")

if __name__ == ""__main__"":
    main()"
